DESCRIPTION,PON,NUMERO,SERIAL,MODELO
falvesdo,8,1,ZTEGc437df9f,F680V6.0.03
lsilvaso,8,2,HWTC3a5b72a3,HS8145V5
wederps,8,3,FHTT03356480,AN5506-04-A1
geiceksc,8,4,FHTT10d67ce0,AN5506-04-F1
marcioss,8,5,ZTEGd0226755,F601V7.0
josesoaresb,8,6,ZTEGc437dfa8,F680V6.0.03
balmeidac,8,7,FHTT11462730,AN5506-02-B
andressacdj,8,8,HWTCeb51d39f,HS8145V5
dircelinms,8,9,ZTEGcec66256,F601V7.0
nilzaplb,8,10,ZTEGcec98a33,F601V7.0
adsonfb,8,11,ZTEGc8fdb8e6,F680V6.0.03
rogerioaa,8,12,ZTEGd08902f4,F612V9.2
dayanepsilvas,8,13,FHTT10dc3058,AN5506-01-A1
hemilywdc,8,14,ZTEGc8fc0a4d,F680V6.0.03
elecinalmg,8,15,HWTC5822109f,HS8145V5
wesleyma,8,16,ZTEGc8fdb933,F680V6.0.03
arcebiliopjs,8,17,ZTEGc4adb332,F680V6.0.03
elizabetcc,8,18,HWTCe21d729f,HS8145V5
rafaeladsi,8,19,HWTCb1e6129d,HS8145V
anaceliamm,8,20,ZTEGc437e149,F680V6.0.03
gezibeugc,8,21,HWTC5c1446a3,HS8145V5
VV-josecdmorais,8,22,FHTT10d84140,AN5506-01-A1
gabrielmoraesm,8,23,FHTT06f52d00,AN5506-04-B2
wilkerrs,8,24,FHTT91063900,AN5506-01-A1
gabrielmd,8,25,HWTC84f8fa9e,HS8145V
eduardooc,8,26,ZTEGd0226ebc,F601V7.0
vanuziavirgiliojm,8,27,ZTEGcec672aa,F601V7.0
ritachv,8,28,FHTT10da5fa0,AN5506-01-A1
