DESCRIPTION,PON,NUMERO,SERIAL,MODELO
odairmdo,4,1,ZTEGd0224828,F601V7.0
lindomarreisda,4,2,ZTEGcec2ceee,F601V7.0
thiagobr,4,3,ZTEGd02247e7,F601V7.0
marcosams,4,4,ZTEGd08934f2,F612V9.2
maurolf,4,5,FHTT050845d0,AN5506-01-A1
patriciasm,4,6,FHTT101b18a0,AN5506-01-A1
lilianeasil,4,7,ZTEGcecdded8,F601V7.0
ruirlu,4,8,FHTT04a5bdd0,AN5506-01-A1
estevamnn,4,9,ZTEGcecddeec,F601V7.0
willianlf,4,10,HWTCeb279a9f,HS8145V5
antunesnla,4,11,HWTCea7a253c,HG8546M
sorleiapm,4,12,ZTEGd08907f4,F612V9.2
shirleym,4,13,ZTEGc437ec85,F680V6.0.03
emersondr,4,14,ZTEGc7953534,F6600V1.0
mmatas,4,15,ZTEGcecdcab4,F601V7.0
ramomtsdo,4,16,ZTEGc437f78f,F680V6.0.03
