DESCRIPTION,PON,NUMERO,SERIAL,MODELO
biancaos,16,1,ZTEGc7953b17,F6600V1.0
rribeirod,16,2,HWTC84e9e99e,HS8145V
glaucilenegos,16,3,FHTT03dcc810,AN5506-01-A1
douglasjfs,16,4,ZTEGc8fdb917,F680V6.0.03
raianvictorfm,16,5,ZTEGc437d950,F680V6.0.03
josecqferreira,16,6,ZTEGcec27b7a,F601V7.0
wellingtonca,16,7,HWTCeaa3589f,HS8145V5
tatianevargas,16,8,ZTEGcec649af,F601V7.0
murilohma,16,9,ZTEGcec64a19,F601V7.0
anapbsi,16,10,HWTCeb4fea9f,HS8145V5
natanmmg,16,11,ZTEGc4a6362d,F680V6.0.03
vanessaos,16,12,ZTEGc8fdb945,F680V6.0.03
ronaldogr,16,13,ZTEGc8fdb967,F680V6.0.03
joaopedrosp,16,14,HWTC84e9e69e,HS8145V
yasminppm,16,15,ZTEGc437df98,F680V6.0.03
PON[2]-AN5506-04-FAT[19],16,16,ZTEGc437eccf,F680V6.0.03
fabriciamc,16,17,ZTEGc4380d65,F680V6.0.03
michellemqh,16,18,ZTEGc437ec72,F680V6.0.03
nayannadsm,16,19,ZTEGd0891344,F612V9.2
carolinaav,16,20,ZTEGd08912ff,F612V9.2
alikarosra,16,21,ZTEGc4ad98ed,F680V6.0.03
guilhermelm,16,22,ZTEGc8ffbb9a,F680V6.0.03
PON[2]-HG260[28],16,23,HWTCeb51f59f,HS8145V5
mcrocha,16,24,ZTEGc4ada316,F680V6.0.03
matheusfrdm,16,25,ZTEGcec27bbb,F601V7.0
brunapmds,16,26,ZTEGd0893509,F612V9.2
mamoreira,16,27,HWTCe235e5a3,HS8145V5
deniserm,16,28,ZTEGcecdbe67,F601V7.0
