DESCRIPTION,PON,NUMERO,SERIAL,MODELO
PON[7]-AN5506-04-FAT[1],4,1,ZTEGc4380d95,F680V6.0.03
pmelot,4,2,HWTC13eeafa2,HS8145V5
ascptrado,4,3,HWTC7b10e8a3,HS8145V5
grcaetano,4,4,HWTC5828df9f,HS8145V5
gabrielml,4,5,ZTEGc8ffbd34,F680V6.0.03
vanessaas,4,6,ZTEGc4380d7e,F680V6.0.03
condominiortctorre2,4,7,ZTEGc4ad9916,F680V6.0.03
deucudesppn,4,8,ZTEGc4adc294,F680V6.0.03
thaisbbc,4,9,ZTEGc4ada070,F680V6.0.03
jacquelineaa,4,10,ZTEGcec990df,F601V7.0
mariamdc,4,11,ZTEGd0891366,F612V9.2
rosilenesantosfa,4,12,ZTEGc4ada671,F680V6.0.03
sergiont,4,13,ZTEGd02262f6,F601V7.0
rayssarpm,4,14,ZTEGd02266fa,F601V7.0
