DESCRIPTION,MODELO,NUMERO,SERIAL,PON
samuelao,AN5506-04-FAT,1,ZTEGc4adbc8c,4
edmarmds,AN5506-04-FAT,2,ZTEGc4adaed0,4
brunocga,AN5506-01-A1,3,FHTT910ffc80,4
dejanirop,HG260,4,HWTCeb02fc9f,4
claudioto,AN5506-04-FAT,5,ZTEGc4a63f29,4
eutonlgp,HG260,6,HWTCb13e769d,4
joaojc,HG260,7,HWTCa51790a0,4
jesuinatab,AN5506-01-A1,8,FHTT15155390,4
nnnogueira,HG260,9,HWTC3a67afa3,4
alexcastrob,HG260,10,HWTC84f80e9e,4
pedrohbr,AN5506-01-A1,11,FHTT0441bad0,4
edipoao,AN5506-01-A1,12,FHTT1012d3e0,4
luizadanjos,AN5506-04-FAT,13,ZTEGc437ec9a,4
lucascsilva,HG260,14,HWTC13ebc9a2,4
elsonglaymf,AN5506-01-A1,15,FHTT910cc800,4
PON[1]-AN5506-04-FAT[34],AN5506-04-FAT,16,ZTEGc7953b44,4
kesiodt,HG260,17,HWTC4e7e349a,4
santhiagojop,AN5506-01-A1,18,FHTT10195f68,4
Moisespc,AN5506-04-FAT,19,ZTEGc4a613b8,4
israelrdsilva,HG260,20,HWTCaea14f9f,4
ruberas,AN5506-01-A1,21,FHTT03dd9858,4
sivaldovdo,AN5506-01-A1,22,FHTT03b045d0,4
ifloresad,HG260,23,HWTC38c28ca4,4
antoniojgs,HG260,24,HWTCf2f8429c,4
rafaellatelesf,HG260,25,HWTC0cf10f9c,4
eliasacf,HG260,26,HWTC066dd096,4
cleitonlgj,AN5506-04-FAT,27,ZTEGc8fdc076,4
lcaetanon,AN5506-04-FAT,28,ZTEGc4a6368f,4
stephaniess,AN5506-04-FAT,29,ZTEGc4a63694,4
waltercyta,AN5506-04-FAT,30,ZTEGc4a613cd,4
laragps,HG260,31,HWTCeb52079f,4
michaelcs,AN5506-04-FAT,32,ZTEGc437dfad,4
neirecarvalho,AN5506-04-FAT,33,ZTEGc8fdcac5,4
joaaquimmf,AN5506-02-B,34,FHTT054aad88,4
suellenslm,AN5506-04-FAT,35,ZTEGc795365a,4
lucasls,AN5506-04-FAT,36,ZTEGc8ffbcf5,4
gleidsonad,AN5506-04-FAT,37,ZTEGc4ad93cc,4
keniogr,AN5506-04-FAT,38,ZTEGc4adb435,4
leticiansm,AN5506-04-FAT,39,ZTEGc79538fd,4
amandapa,AN5506-01-A1,40,ZTEGd0225c26,4
vilmarlb,AN5506-01-A1,41,ZTEGcecddf03,4
wpeixotor,AN5506-04-FAT,42,ZTEGc4a61399,4
dgsilva,AN5506-02-B,43,FHTT076efc00,4
antoniosc,AN5506-04-FAT,44,ZTEGc4a133c5,4
berenicebrs,AN5506-02-B,45,FHTT11b93bb8,4
juancso,AN5506-01-A1,46,FHTT91061840,4
valdeirda,AN5506-01-A1,47,FHTT05e67d80,4
patriciaag,AN5506-01-A1,48,FHTT15676298,4
irenels,AN5506-01-B1,49,FHTT056c60a8,4
madalenaadss,HG260,50,HWTCb7a675a0,4
ramersonhenriquedsr,HG260,51,HWTC2d833ca3,4
claudimardmrodrigues,AN5506-04-FAT,52,ZTEGc8ffbd27,4
rodrigolimaf,HG260,53,HWTCb72ee3a3,4
alynesm,AN5506-01-A1,54,FHTT0709d3a0,4
rodrigoluiz,AN5506-01-A1,55,FHTT91063930,4
edrascl,AN5506-02-B,56,ZTEGd0892824,4
carlosgomes,AN5506-02-B,57,FHTT2d3c32e8,4
bsilvav,HG260,58,HWTC2b3445a5,4
divanirevangelistac,AN5506-01-A1,59,ZTEGcecdbe31,4
simoneamf,HG260,60,HWTC9ec759a0,4
nilsonrsj,AN5506-04-B2,61,FHTT06f52bb0,4
rcandido,AN5506-01-A1,62,ZTEGcecdcbdd,4
rafaells,HG260,63,HWTC3a68f1a3,4
volneymds,AN5506-04-FAT,64,ZTEGc437eca3,4
jkennedyss,AN5506-02-B,65,FHTT11461960,4
franciscoeabf,AN5506-04-FAT,66,ZTEGc8fdc34d,4
eleuzajsr,HG260,67,HWTCc386fd9a,4
chenriquesj,AN5506-04-FAT,68,ZTEGc4a62705,4
charlescg,AN5506-04-FAT,69,ZTEGc4a61167,4
PON[2]-AN5506-04-FAT[59],AN5506-04-FAT,70,ZTEGc437eca8,4
karittalmd,AN5506-04-FAT,71,ZTEGc4ada35f,4
lourivalcd,AN5506-04-FAT,72,ZTEGc8fda32f,4
davipg,AN5506-01-A1,73,ZTEGcecdf8e3,4
PON[2]-AN5506-04-FAT[64],AN5506-04-FAT,74,ZTEGc4adb371,4
sueliarf,AN5506-04-FAT,75,ZTEGc7953b2f,4
bcostag,AN5506-04-FAT,76,ZTEGc437df40,4
andreljax,AN5506-04-FAT,77,ZTEGc4a61424,4
cesaralexsilvac,AN5506-01-A1,78,FHTT10b6e970,4
elinalvamp,HG260,79,HWTC3a6827a3,4
PON[2]-AN5506-01-A1[34],AN5506-01-A1,80,ZTEGcecdf891,4
raimundoribeiros,HG260,81,HWTC3a79f4a3,4
marceloml,AN5506-01-A1,82,ZTEGd022681a,4
ozildoms,HG260,83,HWTCe220ca9f,4
dalmopiresdm,AN5506-04-FAT,84,ZTEGc7953537,4
