DESCRIPTION,PON,NUMERO,SERIAL,MODELO
tcbloco1,3,1,ZTEGc4adb12b,F680V6.0.03
erickmotam,3,2,ZTEGd0224f5b,F601V7.0
gabrieldma,3,3,HWTC582a8a9f,HS8145V5
williamegs,3,4,ZTEGc4ad94d0,F680V6.0.03
PON[6]-AN5506-04-FAT[8],3,5,ZTEGc437dfa7,F680V6.0.03
aparecidabas,3,6,ZTEGcec9903e,F601V7.0
mcotrims,3,7,ZTEGcecdbe29,F601V7.0
PON[7]-AN5506-04-FAT[1],3,8,ZTEGc4380d95,F680V6.0.03
pmelot,3,9,HWTC13eeafa2,HS8145V5
ascptrado,3,10,HWTC7b10e8a3,HS8145V5
grcaetano,3,11,HWTC5828df9f,HS8145V5
gabrielml,3,12,ZTEGc8ffbd34,F680V6.0.03
vanessaas,3,13,ZTEGc4380d7e,F680V6.0.03
condominiortctorre2,3,14,ZTEGc4ad9916,F680V6.0.03
deucudesppn,3,15,ZTEGc4adc294,F680V6.0.03
thaisbbc,3,16,ZTEGc4ada070,F680V6.0.03
jacquelineaa,3,17,ZTEGcec990df,F601V7.0
mariamdc,3,18,ZTEGd0891366,F612V9.2
rosilenesantosfa,3,19,ZTEGc4ada671,F680V6.0.03
sergiont,3,20,ZTEGd02262f6,F601V7.0
rayssarpm,3,21,ZTEGd02266fa,F601V7.0
